CITY_NAME:lat=LATITUDE,lon=LONGITUDE
Maputo:lat=-25.96215439,lon=32.57369232
Johannesburg:lat=-26.17895699,lon=28.0043087
Brisbane:lat=-27.45391273,lon=153.0264893
Durban:lat=-29.83637238,lon=30.94218826
Porto Alegre:lat=-30.03953362,lon=-51.20798874
Cordoba:lat=-31.31627846,lon=-64.17985535
Santa Fe:lat=-31.61689758,lon=-60.69784164
Mendoza:lat=-32.89743805,lon=-68.8297348
Rosario:lat=-32.93773651,lon=-60.66394043
Santiago:lat=-33.47502518,lon=-70.64751434
Port Elizabeth:lat=-33.88157654,lon=25.48429871
Sydney:lat=-33.88977432,lon=151.0281982
Buenos Aires:lat=-34.66540146,lon=-58.40959167
Canberra:lat=-35.34992599,lon=149.041626
Auckland:lat=-36.89325333,lon=174.8010559
Melbourne:lat=-37.85295868,lon=145.0751038
Bahia Blanca:lat=-38.72527313,lon=-62.27406693
Christchurch:lat=-43.54891586,lon=172.6836548
Helsinki:lat=60.19642258,lon=24.97669983
Sfax:lat=34.74523163,lon=10.75925827
Kobe:lat=34.66384125,lon=135.181839
Jerusalem:lat=31.77374649,lon=35.22521973
Valencia:lat=10.17822075,lon=-68.00311279
Guayaquil:lat=-2.203816175,lon=-79.90939331
San Francisco:lat=37.72751236,lon=-122.308815
Edinburgh:lat=55.87525177,lon=-3.298783302
Trieste:lat=45.70028305,lon=13.93283749
Fukuoka:lat=33.30990601,lon=130.3171844
Kita Kyushu:lat=33.68186569,lon=130.7974548
N'Djamena:lat=12.10413933,lon=15.24082375
Tripoli:lat=32.75161743,lon=13.21182251
Izmir:lat=38.43891907,lon=27.20576859
Kinshasa:lat=-4.388674736,lon=15.46929359
Adelaide:lat=-34.91853714,lon=138.8706818
Jakarta:lat=-6.293904305,lon=106.7624664
Semarang:lat=-7.027844429,lon=110.4442596
Callao:lat=-12.04354,lon=-76.83563232
Belem:lat=-1.605329037,lon=-48.31627655
Qingdao:lat=36.14835358,lon=120.4341278
Vientiane:lat=18.00173187,lon=102.6802368
Salzburg:lat=47.80117035,lon=13.09089851
Zagreb:lat=45.8070755,lon=15.96438599
Bujumbura:lat=-3.269083738,lon=29.5335865
